symbol,name,close,open,value,volume
PBI^B,Dabjam,767.35,243.81,242.08,224614622
CTMX,Skaboo,238.1,341.54,167.12,550102821
WETF,Muxo,430.57,322.36,195.11,523526983
RNR,Wikivu,779.63,478.84,704.37,142543401
FCVT,Yoveo,555.7,886.38,228.48,687313402
DS^D,Jabberbean,407.18,292.3,356.93,704873992
FNV,Eire,23.12,595.89,547.37,735278819
WPG^H,Devshare,110.96,720.82,972.61,101691466
CINF,Twinder,224.36,856.31,875.03,7083085
FMB,Meedoo,898.89,260.15,409.47,435000948
DPLO,Skipstorm,494.44,950.86,626.9,849620632
BPFHP,Tanoodle,116.02,870.76,297.53,113222243
QQQX,Mynte,698.1,227.61,350.9,271841158
CBU,Kayveo,27.8,992.67,682.68,949590867
PCH,Zoonder,919.36,207.63,131.64,59480213
INN^C,Browsebug,961.2,863.05,248.17,668607295
EPD,Tagopia,3.17,410.43,683.03,719032551
ENIC,Rhycero,344.09,548.71,262.5,162480737
TLLP,Quimba,941.16,294.02,536.67,371342464
CNCE,Gigaclub,783.91,579.97,851.76,803400081
TLF,Eire,484.99,754.42,683.28,455733546
FLXN,Rhybox,131.74,694.2,816.64,573014707
AOSL,Kaymbo,64.78,614.9,331.35,587617581
UCFC,Ozu,918.81,19.81,488.95,338636225
DCUC,Dabshots,964.42,275.1,134.76,408959380
IVR^B,Dabfeed,217.48,267.24,813.57,285109414
AKO.A,Voonix,899.37,443.59,187.94,891227796
COTY,Realcube,650.92,581.48,544.36,855550089
TELL,Yata,305.73,59.12,469.19,602611843
CPAA,Oodoo,281.64,856.04,413,675281928
HRC,Muxo,292.68,633.04,111.76,129882442
PAVMW,Tanoodle,173.63,281.53,139.41,790904475
MTRX,Wikibox,122.11,974.52,33.52,272348254
GSBD,Rhyloo,119.13,507.89,858.04,307738713
KFN^,Youfeed,217.87,585.67,797.71,693185739
USB^A,Kare,548.09,201.1,598.85,772814833
CTU,Mybuzz,145.23,164.97,798.86,345268708
TWO,Kaymbo,914.3,536.43,553.85,970251374
KODK.WS.A,Vitz,218.07,227.96,164.36,895585575
CSBR,Skimia,725.6,497.7,205.27,472138208
SLD,Babbleblab,176.52,576.9,379.55,67710796
CTBB,Photobug,777.99,474.24,19.65,209594048
HTGM,Gigashots,153.06,55.16,580.58,664467975
GYB,Jamia,563.86,234.68,467.42,282740610
TREC,Topicshots,229.82,937.77,652.25,29520941
RGR,Mynte,880.76,508.26,794.47,777869886
QINC,Tagchat,675.08,673.61,361,655060384
PLUG,Feedmix,748.22,348.56,697.67,965008264
WHLR,Katz,163.59,833.09,731.54,659200879
FYX,Linklinks,3.92,371.94,69.82,771700824
JTA,Jabbertype,733.12,494.24,102.84,261939159
SILC,Kwimbee,944.9,617.2,861.35,813458562
PRE^G,Yombu,294.37,74.58,847.11,496992944
AC,Mudo,723.38,213.96,217.21,591826795
EEFT,Photospace,446.69,243.78,221.81,518913685
NTEST,Jaxbean,200.74,33.94,265.53,776571562
BCOV,Buzzdog,195.54,565.27,881.82,627523825
PME,Jabbersphere,401.44,697.91,578.87,602878498
SGBK,Edgeblab,944.8,544.87,110.47,135256569
BHBK,Zazio,538.76,346.81,163.1,391585040
EXEL,Blogtags,57.4,587.19,61.86,558883730
IGD,Thoughtbeat,181.04,684.2,342.21,581390852
PHM,Realblab,515.14,282.65,223.83,235378768
ELLI,Meembee,797.12,867.28,400.86,278151034
ACRX,Babbleset,397.06,406.6,35.48,648901643
BLBD,Tavu,765.25,33.16,227.84,331543429
WHLRD,Skiptube,474.05,3.89,846.6,665531448
ELTK,Zoomcast,538.79,242.05,309.46,363542200
TNP^D,Jabbersphere,778.35,847.27,487.76,118022648
MUH,Lazzy,899.31,680.11,69.84,894915139
CTW,Brainverse,786.18,820.64,9.34,917989205
ITI,Flashpoint,612.61,704.25,292.52,803964430
WSTC,Topiczoom,226.96,698.97,67.68,84218562
MPWR,Devshare,37.21,116.19,352.74,223368717
GNTX,Ooba,799.56,535,996.11,737377092
WPT,Zoozzy,835.27,202.55,696.77,700519479
ACGL,Yakidoo,754.84,529.54,940.69,169607918
HABT,Kwinu,261.1,199.17,192.67,329489598
UBFO,Oloo,367.96,766.86,642.1,880512883
FTSL,Browsezoom,520.68,899.77,268.2,386663470
DAR,Divanoodle,815.75,550,518.94,685571946
CIM^B,Gigazoom,334.14,436.76,239.48,299273568
SOHOB,Kare,534.52,775.84,262.25,470464232
MNR,Blogspan,555.4,921.57,608.36,405553329
TWI,Jaxbean,855.36,21.34,624.1,566244241
BLIN          ,Topicblab,938.4,112.18,565.34,667121505
LTC,Realcube,641.93,592.88,51.53,737373745
ZOES,Voolith,47.93,81.4,573.23,662157628
WHLRP,Realcube,541.26,517.02,875.02,985096359
EV,Kimia,916.17,351.61,397.22,159697668
CNSL,Twinte,347.86,885.03,412.59,885790777
SRUN,Topicstorm,924.28,13.87,904.23,967462226
FTW,Thoughtbeat,944.82,173.41,365.48,598107518
NEE^R,Riffpath,263.8,850.29,85.75,247684849
ICLN,Shuffletag,842.12,834.22,256.59,726301918
IDTI,Jamia,257.03,849.71,403.49,644678026
NDRM,Realbridge,947.08,364.25,646.58,635200735
LCII,Eayo,746.44,723.28,88.64,131392645
FMB,Tavu,860.14,170.65,643.25,46349819
FMY,Topdrive,855.33,755.49,962.23,858485040
IO,Oozz,896.75,607.11,882.31,900773125
AKAO,Edgewire,638.63,178.28,67.38,705179425
VHI,Kaymbo,391.11,902.09,407.99,266673676
NEWTL,Kwilith,971.82,950.35,826.35,376118954
SGLB,Mudo,987.86,157.36,305.16,932640846
LYTS,Myworks,172.81,493.8,648.18,944404787
DTUL,Zoombeat,116.31,496.09,230.91,139321743
DRUA,Oyoyo,397.84,154.04,469.65,174563453
FEP,Oba,9.6,483.78,641.08,372693063
ARR^A,Eadel,353.22,386.4,709.65,824687414
ZTO,Demimbu,678.8,744.38,710.58,24675699
GBLI,Bubblemix,258.34,914.82,987.49,508978384
RAIL,Yabox,203.8,311.54,692.2,911699856
DPLO,Yadel,332.86,139.02,989.15,518358951
MTW,Tagopia,781.73,901.67,928.52,148183728
FTGC,Eidel,896.28,982.33,997.61,220992366
HLNE,Eazzy,356.42,494.03,290.49,307229089
TGEN,Demimbu,33.95,229.94,817.44,30402140
FPT,Linkbridge,17.58,601.91,451.25,844847651
SCE^J,Meevee,964.86,482.8,78.4,457705634
QINC,Fliptune,647.2,772.35,36.66,173988247
SUM,Agivu,245.81,687.22,100.7,447586293
NWSA,BlogXS,902.37,835.89,217.71,276273884
RDIB,Babbleset,612.65,659.77,101.93,609768714
LSXMK,Oyope,154.57,485.94,714.07,68717271
CLDX,Twitterworks,169.19,379.18,493.57,565614900
WYIG,Plambee,524.67,24.85,888.09,772638733
MCEF,Devify,476.26,508.61,160.97,813690485
ACRE,Blogpad,328.72,263.78,987.35,290881741
AMG,Oyoba,553.29,138.51,854.19,116746667
AGYS,Buzzster,235.4,220.68,164.03,879456547
MEDP,Twitterworks,326.22,485.64,180.15,387561668
MTGEP,Dabvine,755.28,495.67,529.65,158343922
HOPE,Demimbu,98.6,738.86,868.77,484825148
PDCE,Zoombox,8.19,881.37,402,816130793
COST,Skippad,276.01,508.37,518.24,422197368
DYNT,Avavee,789.01,47.37,716.77,500575059
STAR^E,Oloo,93.19,533.8,125.49,603323624
EVOL,Leenti,885.59,390.72,556.29,720076862
UVV,Plajo,533.04,857.83,266.17,350319505
ATU,Mita,681.1,403.85,582.1,125251439
NMR,Oyondu,224.49,62.87,476.54,678295343
ARII,Eazzy,589.05,771.62,674.87,873347463
CFA,Brainverse,476.7,804.14,837.34,810136168
HL,Eare,32.46,417.93,707.41,162673924
PUB,Browsezoom,118.6,192.42,951.16,312654879
CHH,Edgewire,53.75,665.5,555.62,606135580
AZUL,Skynoodle,3.49,71.48,97.35,854860603
ASPS,Realbridge,91.47,143.51,452.51,555353411
HGH,Topiczoom,516.15,11.04,339.51,469448537
BBD,Topdrive,965.4,86.38,984.29,552610069
TANNL,Divape,118.57,291.44,517.12,480264246
KMPH,Yodel,486,151.4,785.71,243652209
CBMXW,Jazzy,628.57,958.54,257.84,79821215
CNDT,Eamia,459.4,917.59,971.96,923032691
FUN,Flipstorm,661.77,609.94,372.19,784853808
WY,Ooba,535.36,177.8,688.19,173748545
FE,Jabbercube,406.94,495.19,474.24,92402658
JAKK,Gevee,949.89,253.12,392.11,339344099
TELL,Kwilith,322.14,967.49,237.82,329890296
CMRE^C,Ntag,568.95,765.1,704.03,188622274
CIZN,Zoomdog,692,478.66,695.98,782081501
LMOS,Ozu,61.09,765.77,713.39,472150585
CNTF,Kwimbee,882.91,29.04,370.31,930338865
RDY,Thoughtstorm,385.02,800.99,325.64,581652850
FTFT,Browsebug,691.54,621.94,226.24,334251797
ESS,Twitterbeat,181.93,874.23,501.08,378531520
RNVA,Devcast,288.6,838.9,363.57,865860054
CZWI,Avamba,487.86,575.65,457.19,832705002
STNG,Fliptune,959.32,737.93,788.26,756378628
TRIL,Quire,521.01,153.56,780.95,257381485
TTF,Tambee,164.68,726.52,714.38,291083917
CBMX,Voolia,6,124.9,394.06,663391519
GPT^A,Edgepulse,120.27,35.73,144.05,373574022
EARS,Thoughtmix,855.1,559.23,62.34,578794469
CNFR,Janyx,291.36,802.46,120.97,87434603
AUY,Talane,566.75,234.37,940.28,254253727
APF,Youbridge,474.82,340.88,680.81,50800697
TUES,Tagpad,884.78,68.34,495.02,407261899
UAN,Dabshots,77.82,904.34,72.67,365765194
WAAS,Zava,411.99,927.35,711.59,2113320
DO,Leenti,814.73,257.68,684.19,721042938
RARX,Nlounge,791.62,563.28,55.6,71937506
THC,Flipbug,705,244.56,38.3,25929522
PPR,Zoombeat,635.97,601.4,322.6,476811150
SBOT,Tagfeed,147.87,738.63,707.08,70158375
ULTI,Tambee,832.83,170.84,607.08,995989513
MCN,Blogspan,661.66,142.16,787.32,173905521
OFED,Meembee,804.85,282.33,866.44,571408002
NEON,Browsetype,793.42,968.49,756.81,728841775
BME,Mita,709.7,581.26,151.08,332191629
EXLS,Teklist,177.75,281.14,957.72,671990477
HQY,Yakijo,709.66,978.12,385.06,409430957
PEGA,Thoughtmix,722.97,665.44,117.62,408294671
AGNCP,Twitterbridge,190.42,698.22,17.23,820909420
PETS,Oyoba,276.66,524.31,284.85,219942580
DCI,Skinte,305.98,720.93,606.81,698727941
POWI,Jetwire,188.75,203.17,679.24,563262816
CYBE,Twinder,392.85,731.98,252.67,7299183
GLUU,Jayo,634.64,97.58,960.79,138930899
WPRT,Thoughtstorm,320.94,12.09,325.39,689495832
VCRA,Viva,403.78,530.2,589.79,684927685
CMRE^D,Dabvine,860.87,803.4,373.37,538229589
MNTA,Leexo,560.92,272.06,222.46,857567766
CLAC,Feednation,155.34,716.66,890.67,846584801
OAKS,Quamba,182.36,376.4,922.86,340382026
USAC,Topicblab,828.27,273.73,224.3,763227135
CLCT,Feedfire,934.96,640.65,331.78,541023975
FI,Skipstorm,562.76,293.14,834.23,575147812
SLMBP,Pixonyx,333.6,254.33,377.96,208059708
SYPR,Zoozzy,325.65,347.28,288.98,170786932
TIL,Rhyloo,809.68,926.84,930.22,646183030
TDIV,Thoughtsphere,647.83,860.55,913.51,593026575
IEX,Edgepulse,451.14,516.38,474.41,163435557
WTS,Yamia,458.26,349.75,242.49,742931001
RARX,Roodel,591.83,345.55,681.78,566553442
VPG,Zava,55.06,97.97,908.95,155457831
HONE,Skipfire,88.88,49.03,789.48,191957946
KED,Tazz,445.26,828.97,19.15,174019476
SYNC,Quatz,782.56,518.07,873.45,834072734
CLWT,Katz,165.36,261.86,963.2,138680542
INTG,Tagtune,236.52,896.56,998.9,192637773
IBTX,Eayo,845.62,59.94,614.03,105932706
FLDM,Avamba,950.75,174.83,968.67,984499141
NVGS,Buzzster,708.33,704.76,978.94,909012427
TRNO^A.CL,Quatz,838.64,40.5,125.84,172730306
PEI^B,Quimba,289.26,772.46,145.38,429613458
GLRE,Zava,756.9,927.65,156.08,839195526
RFT,Bubblemix,679.72,638.13,181.04,585652150
SA,Thoughtbridge,61.97,670.12,738.17,70289406
APOPW,Livepath,459.54,366.75,789.62,245640520
MYOV,Tagopia,698.84,648.25,28.79,604342007
UE,Twinder,914.23,59.78,904.22,200267972
IBKCO,Avavee,684.29,777.93,803.47,150632862
PRGO,Wikibox,989.77,64.12,974.93,215009963
CHDN,Youspan,529.69,780.23,139.12,468538869
TSQ,Tagpad,443.86,895.3,519.12,672108780
HTBK,Meeveo,677.69,219.31,350.31,86350538
VER,Myworks,417.12,908.45,654.32,827341556
MKTX,Kare,635.18,440.57,958.35,156804664
PAGP,Agivu,918.37,301.63,982.17,656566896
PBIP,Ntags,400.67,656.34,795.44,410796794
C^N,Tambee,294.76,881.06,841.53,96446286
IPDN,Eare,382.56,353.93,422.53,940087791
CIA,Feedfire,482.66,529.4,597.94,380937803
